timestamp,sound,co2,voltage,case_no
2025-10-21 16:34:55,41.19,,,13
2025-10-21 16:34:55,,1883,,13
2025-10-21 16:34:55,,,23.77,13
2025-10-21 16:37:03,59.14,,,13
2025-10-21 16:37:03,59.14,,,13
2025-10-21 16:37:04,,2084,,13
2025-10-21 16:37:04,,,10.45,13
2025-10-21 16:37:04,,,10.4,13
2025-10-21 16:37:05,,,10.46,13
2025-10-21 16:37:06,,,10.48,13
2025-10-21 16:37:07,,,10.46,13
2025-10-21 16:38:24,0.18,,,,17
2025-10-21 16:38:24,,41,,,17
2025-10-21 16:38:24,,,23.86,,17
2025-10-21 16:38:24,,,,47.53,17
2025-10-21 16:38:25,,,23.87,,17
2025-10-21 16:38:26,,,,55.62,17
2025-10-21 16:38:27,,24,,,17
2025-10-21 16:38:27,0.15,,,,17
2025-10-21 16:42:55,0.13,,,,17
2025-10-21 16:42:55,,212,,,17
2025-10-21 16:42:55,,,24.07,,17
2025-10-21 16:42:55,,,,49.59,17
2025-10-21 16:42:57,,,,48.47,17
2025-10-21 16:42:58,,106,,,17
2025-10-21 16:43:00,,,,49.31,17
2025-10-21 16:43:01,0.18,,,,17
2025-10-21 16:43:01,,75,,,17
2025-10-21 16:46:22,0.15,,,,17
2025-10-21 16:46:22,,110,,,17
2025-10-21 16:46:22,,,24.25,,17
2025-10-21 16:46:22,,,,52.23,17
2025-10-21 16:46:22,,,24.27,,17
2025-10-21 16:46:23,,,,51.84,17
2025-10-21 16:46:23,,382,,,17
2025-10-21 16:46:25,,,24.25,,17
2025-10-21 16:46:26,,,,52.73,17
2025-10-21 16:46:26,,489,,,17
2025-10-21 16:46:27,0.14,,,,17
2025-10-21 16:46:29,,,,52.45,17
2025-10-21 16:46:29,,488,,,17
2025-10-21 16:46:30,0.17,,,,17
2025-10-21 16:46:31,,,24.28,,17
2025-10-21 16:46:31,,,,48.95,17
2025-10-21 16:46:32,,258,,,17
2025-10-21 16:46:33,0.14,,,,17
2025-10-21 16:46:33,,,24.3,,17
2025-10-21 16:46:34,,,,51.9,17
2025-10-21 16:46:35,,115,,,17
2025-10-21 16:50:05,0.18,,,,17
2025-10-21 16:50:05,,246,,,17
2025-10-21 16:50:05,,,24.43,,17
2025-10-21 16:50:05,,,,58.55,17
2025-10-21 16:50:05,0.15,,,,17
2025-10-21 16:50:05,,,,55.19,17
2025-10-21 16:50:06,,376,,,17
2025-10-21 16:50:07,,,24.44,,17
2025-10-21 16:50:08,,,,56.95,17
2025-10-21 16:50:09,,189,,,17
2025-10-21 16:50:10,0.17,,,,17
2025-10-21 16:50:11,,,,57.95,17
2025-10-21 16:50:12,,88,,,17
2025-10-21 16:50:13,,,24.47,,17
2025-10-21 16:50:13,0.16,,,,17
2025-10-21 16:50:14,,,,60.98,17
2025-10-21 16:50:15,,133,,,17
2025-10-21 16:50:16,,,24.46,,17
2025-10-21 16:50:16,0.13,,,,17
2025-10-21 16:58:31,173,,,17
2025-10-21 16:58:31,,24.84,,17
2025-10-21 16:58:31,,,23.8,17
2025-10-21 16:58:31,165,,,17
2025-10-21 16:58:32,,,23.76,17
2025-10-21 16:58:33,,,23.83,17
2025-10-21 16:58:34,176,,,17
